RA (degrees),DEC (degrees),Timestamp
24.870836,-10.42211,2026-02-27
217.65866,23.849873,2026-03-01
248.11816,-15.004173,2026-03-03
168.93237,8.39474,2026-03-05
26.315592,2.729743,2026-03-07
4.717701,4.7137394,2026-03-09
332.89392,9.549136,2026-03-11
216.69868,14.628726,2026-03-13
165.70372,20.918894,2026-03-15
254.04495,-13.840958,2026-03-17
258.09106,30.160902,2026-03-19
127.50996,23.27371,2026-03-21
153.09941,21.088186,2026-03-23
352.30957,7.8986616,2026-03-25
41.32325,9.372292,2026-03-27
185.20705,6.300717,2026-03-29
335.4228,0.5225709,2026-03-31
183.49521,18.654476,2026-04-02
248.9295,-17.274101,2026-04-04
219.71355,6.181345,2026-04-06
12.963994,14.33271,2026-04-08
300.32608,22.517672,2026-04-10
196.6046,5.5290756,2026-04-12
33.8475,6.717976,2026-04-14
265.5366,27.596529,2026-04-16
19.786652,-1.2053804,2026-04-18
248.23376,28.486042,2026-04-20
259.80676,-6.5375233,2026-04-22
26.12314,5.1907983,2026-04-24
264.5595,-14.301417,2026-04-26
45.55216,0.3129591,2026-04-28
280.1795,27.602234,2026-04-30
4.8511505,5.2063556,2026-05-02
77.18168,17.584167,2026-05-04
149.3404,16.080835,2026-05-06
83.902885,13.749081,2026-05-08
200.85533,0.15137012,2026-05-10
91.181366,-17.681738,2026-05-12
25.265747,14.200946,2026-05-14
213.9639,25.277727,2026-05-16
194.55559,7.0823617,2026-05-18
28.74791,-0.8876582,2026-05-20
235.31793,24.14869,2026-05-22
135.19392,15.902425,2026-05-24
87.445595,17.559036,2026-05-26
271.01025,29.416504,2026-05-28
234.64368,28.371187,2026-05-30
163.58458,14.210999,2026-06-01
320.9412,20.344784,2026-06-03
11.243683,14.540784,2026-06-05
159.91898,17.923338,2026-06-07
41.87808,2.0318673,2026-06-09
195.79115,18.010515,2026-06-11
183.90346,-6.477247,2026-06-13
170.24147,23.47126,2026-06-15
197.75476,23.73255,2026-06-17
21.173828,-20.195648,2026-06-19
111.72061,23.796223,2026-06-21
312.29755,-5.117377,2026-06-23
84.48149,14.540806,2026-06-25
52.44723,2.995316,2026-06-27
262.96677,-10.216616,2026-06-29
10.571655,11.091301,2026-07-01
326.78302,17.139057,2026-07-03
276.62762,22.070274,2026-07-05
4.7072673,5.304478,2026-07-07
254.70477,28.610428,2026-07-09
337.80655,3.1086473,2026-07-11
355.69705,13.8397875,2026-07-13
264.3373,-12.111698,2026-07-15
238.49237,30.797407,2026-07-17
187.83458,6.488256,2026-07-19
190.10925,6.7171087,2026-07-21
176.35898,21.32833,2026-07-23
76.31674,19.855797,2026-07-25
244.30676,27.376293,2026-07-27
254.67615,20.260303,2026-07-29
0.29666665,-2.973343,2026-07-31
316.0004,8.718595,2026-08-02
254.2414,23.705744,2026-08-04
216.50064,10.001561,2026-08-06
259.02563,-12.450925,2026-08-08
268.71725,28.846066,2026-08-10
344.56952,0.95653176,2026-08-12
170.98164,26.355574,2026-08-14
7.3130074,1.5953165,2026-08-16
228.60506,17.682192,2026-08-18
60.985664,7.8574934,2026-08-20
70.095726,19.168367,2026-08-22
147.39955,16.399406,2026-08-24
285.29565,27.872202,2026-08-26
342.72433,15.8509,2026-08-28
278.35052,28.482471,2026-08-30
136.80162,15.799004,2026-09-01
268.23688,-10.483815,2026-09-03
51.805305,3.5944598,2026-09-05
70.5576,14.731003,2026-09-07
24.763456,-6.5974746,2026-09-09
167.82684,-16.824305,2026-09-11
247.94629,-8.208294,2026-09-13
296.54895,20.979996,2026-09-15
156.71553,-12.955658,2026-09-17
274.20276,17.871326,2026-09-19
247.54968,17.686842,2026-09-21
231.67996,12.042161,2026-09-23
349.13187,3.2550697,2026-09-25
191.76347,7.3818793,2026-09-27
75.93494,11.709434,2026-09-29
279.93832,-6.4134207,2026-10-01
222.08438,26.02652,2026-10-03
356.52557,-18.638786,2026-10-05
225.46681,13.223111,2026-10-07
235.62112,15.839638,2026-10-09
39.135735,-0.66572887,2026-10-11
3.4605432,-27.33861,2026-10-13
194.90846,14.144097,2026-10-15
21.231699,-1.2671771,2026-10-17
178.2334,27.119339,2026-10-19
126.46058,25.133776,2026-10-21
246.70444,-2.9882789,2026-10-23
314.5397,19.49137,2026-10-25
49.073513,2.106784,2026-10-27
345.57352,3.0783002,2026-10-29
177.2511,12.786605,2026-10-31
60.805298,-3.2334611,2026-11-02
25.082958,0.5479104,2026-11-04
26.811579,-13.754084,2026-11-06
149.6104,19.877254,2026-11-08
326.29016,3.4045212,2026-11-10
20.660997,-21.249447,2026-11-12
49.17511,7.656327,2026-11-14
242.99947,-6.685609,2026-11-16
313.54453,18.305838,2026-11-18
235.0438,-6.451333,2026-11-20
164.89522,20.104506,2026-11-22
178.6742,-17.559374,2026-11-24
219.76768,10.551045,2026-11-26
160.68872,-3.2920463,2026-11-28
261.02563,6.903277,2026-11-30
162.49571,9.966206,2026-12-02
318.1255,21.989605,2026-12-04
54.123985,-0.59623396,2026-12-06
83.17813,20.438934,2026-12-08
87.08528,19.00169,2026-12-10
258.513,30.360765,2026-12-12
221.38672,9.952739,2026-12-14
260.46304,11.103588,2026-12-16
250.92877,-9.5122795,2026-12-18
252.27052,30.90181,2026-12-20
163.78033,-5.6776733,2026-12-22
134.71873,20.139166,2026-12-24
15.67125,14.0234995,2026-12-26
106.137726,13.067911,2026-12-28
8.457067,-1.3356645,2026-12-30
227.44478,-3.2280126,2027-01-01
231.1546,12.507714,2027-01-03
53.43416,15.074826,2027-01-05
9.214438,-17.656532,2027-01-07
260.86823,-12.592006,2027-01-09
213.84451,23.760048,2027-01-11
77.30414,10.9681225,2027-01-13
190.17598,15.21547,2027-01-15
211.853,13.341012,2027-01-17
148.348,23.310518,2027-01-19
30.791601,1.1014326,2027-01-21
346.2545,3.5776887,2027-01-23
306.8138,3.574473,2027-01-25
147.9341,17.22993,2027-01-27
229.33557,25.946617,2027-01-29
34.845234,13.338329,2027-01-31
293.2489,22.322521,2027-02-02
107.08613,23.25475,2027-02-04
25.447111,0.8399529,2027-02-06
227.42911,18.9089,2027-02-08
14.107749,-2.132671,2027-02-10
358.32993,3.7731965,2027-02-12
46.78924,14.530025,2027-02-14
337.32483,3.7759883,2027-02-16
148.91718,22.934471,2027-02-18
252.31653,-12.181139,2027-02-20
26.75381,-1.7071993,2027-02-22
70.72064,15.035525,2027-02-24
319.6966,-10.518283,2027-02-26
231.75746,16.736174,2027-02-28
162.1378,26.737995,2027-03-02
177.15721,8.897507,2027-03-04
46.79637,8.757864,2027-03-06
255.87698,-1.1758872,2027-03-08
159.94691,15.06905,2027-03-10
324.2036,-27.644499,2027-03-12
10.919722,-2.0648715,2027-03-14
226.32431,11.703365,2027-03-16
336.24927,-29.443462,2027-03-18
358.3228,-23.890038,2027-03-20
100.286026,21.771816,2027-03-22
18.171726,2.9463763,2027-03-24
191.09142,19.332504,2027-03-26
355.01123,-25.775028,2027-03-28
11.601383,13.39472,2027-03-30
359.6048,-1.1422799,2027-04-01
131.76874,19.931906,2027-04-03
135.80554,17.999914,2027-04-05
121.13397,20.142496,2027-04-07
343.8831,13.748977,2027-04-09
167.87297,16.796686,2027-04-11
315.24475,-28.007998,2027-04-13
359.38815,13.149115,2027-04-15
329.20712,1.3149985,2027-04-17
175.6592,25.191877,2027-04-19
220.89111,27.32706,2027-04-21
344.02377,0.011015685,2027-04-23
5.703158,-9.40447,2027-04-25
273.37558,14.528214,2027-04-27
8.651384,13.356676,2027-04-29
165.0714,2.7591329,2027-05-01
290.22107,11.881436,2027-05-03
342.67154,-0.44341388,2027-05-05
175.48439,25.958931,2027-05-07
243.45279,-23.354637,2027-05-09
106.999664,14.394636,2027-05-11
251.71306,-13.674147,2027-05-13
257.38266,-11.589224,2027-05-15
198.42229,9.702637,2027-05-17
244.98308,29.361258,2027-05-19
200.13708,6.99492,2027-05-21
104.067375,22.068764,2027-05-23
255.8623,-11.581372,2027-05-25
313.36856,18.957127,2027-05-27
252.46333,-9.557126,2027-05-29
20.23115,-20.355724,2027-05-31
185.74011,12.298693,2027-06-02
209.09502,4.984504,2027-06-04
321.41476,19.597954,2027-06-06
254.22258,28.09456,2027-06-08
