predicted_ra,predicted_dec,predicted_year,predicted_month,predicted_day,predicted_hour
44.247498,-92.43331,2029,58,333,-15
36.661407,-78.388565,2032,11,78,4
290.20856,7.457591,2027,6,18,10
315.54477,-72.94309,2029,4,41,57
43.62256,-91.234276,2033,75,352,-48
43.588898,-87.68995,2030,43,177,-27
343.4304,-78.42449,2027,5,53,71
43.957184,-90.83856,2033,66,308,-39
333.8127,-81.48002,2025,6,90,135
340.1628,-82.60649,2031,5,102,153
339.15555,-81.6594,2025,4,84,123
323.55743,-76.51473,2034,4,51,72
318.33936,-74.58978,2025,4,46,64
42.24832,-90.88422,2031,33,200,-3
25.17221,-64.12964,2033,8,54,9
44.966583,-92.381836,2027,92,477,-49
357.21964,-52.984898,2027,5,34,18
17.33319,9.403775,2032,5,16,5
341.85287,-46.503082,2033,9,18,12
338.13605,-83.13272,2028,5,126,193
203.51735,-27.70625,2026,4,31,14
309.384,-25.186049,2026,3,25,23
76.97797,13.2353,2025,6,14,9
346.6809,-81.28172,2030,6,71,101
31.636566,-89.21117,2031,5,116,16
42.471497,-92.65163,2025,47,297,-6
346.85175,-58.732357,2025,11,20,13
351.73035,-48.44825,2031,5,32,17
338.8214,-83.72534,2030,6,150,235
42.792908,-87.65655,2030,47,190,-33
226.79321,-42.435432,2030,4,20,23
357.3733,3.8430326,2028,7,15,6
331.37332,17.838057,2032,6,18,7
190.59561,-1.3903273,2028,4,24,12
8.965668,-33.75171,2029,8,17,4
294.6703,-67.15088,2029,3,34,47
45.88559,-92.67502,2027,95,508,-42
327.33954,-70.014084,2033,6,33,40
22.361053,-69.15493,2032,5,47,17
278.17416,-63.555336,2027,2,30,41
31.549622,-82.03495,2031,7,78,12
342.8911,-80.723236,2034,5,69,97
232.61746,-48.935932,2028,3,22,28
352.33704,-75.77342,2033,6,42,52
334.97537,-74.82513,2025,8,40,50
340.07397,-62.9776,2033,9,23,20
30.89685,-87.23308,2028,5,98,16
44.99121,-92.62182,2033,103,536,-55
340.63913,-83.80075,2026,6,149,231
43.78665,-90.09566,2026,36,194,-9
310.23215,-69.733376,2027,4,35,48
316.02966,-75.15206,2032,3,49,72
334.95877,-81.43038,2031,7,89,132
43.47342,-89.2207,2033,53,229,-35
337.89188,-83.16011,2033,5,129,197
322.07825,-38.855873,2030,6,18,16
334.79233,-80.458405,2027,7,74,107
45.878723,-92.98627,2030,111,603,-49
5.9405823,-74.55132,2028,7,36,43
33.557526,-89.11083,2025,9,117,12
44.339478,-89.405106,2027,37,185,-11
44.537354,-90.83073,2031,61,292,-33
45.369232,-92.898605,2025,89,495,-35
20.334229,-58.38123,2027,6,40,15
306.17892,-70.64284,2025,2,39,55
340.65002,-83.44296,2029,6,132,201
336.96762,-76.14456,2030,9,43,55
305.9012,-70.65147,2034,3,38,54
41.324585,-76.80324,2026,19,60,-3
353.71008,-74.70128,2025,6,39,49
106.44098,-16.782267,2033,5,17,11
30.953583,-84.86352,2028,7,86,13
62.33841,-15.677437,2033,7,20,4
328.46216,-75.25359,2027,3,47,64
42.65686,-92.22104,2033,43,267,-5
28.899231,-59.086937,2030,11,40,21
147.16656,-17.80542,2026,4,17,12
334.59515,-81.891304,2028,3,95,142
44.245728,-93.15345,2033,78,456,-23
44.419067,-93.091286,2025,150,783,-93
328.53976,-79.26633,2033,4,65,94
41.807983,-86.59354,2028,23,127,-3
355.16168,4.354398,2027,6,15,6
44.210266,-90.65317,2032,41,220,-12
333.50876,-79.60534,2033,7,65,94
336.52045,-82.85879,2027,5,121,184
310.623,-71.99554,2027,2,41,59
341.52097,-82.28452,2034,5,92,136
44.37921,-89.96249,2033,53,244,-29
329.57364,-80.048706,2034,4,73,106
44.533783,-93.14116,2034,154,809,-94
234.73465,-42.544403,2033,4,20,22
336.56604,-77.322754,2028,9,48,64
11.406891,-16.565018,2034,8,16,3
44.255005,-92.62275,2031,111,567,-68
327.68677,28.133991,2034,3,17,9
342.4779,-84.593376,2034,8,193,307
43.767883,-83.51549,2026,25,98,-7
20.956879,-60.423588,2034,6,41,16
338.2612,-83.40857,2032,5,138,213
344.02136,-82.443825,2027,6,92,134
42.207214,-87.63146,2031,49,192,-35
340.53198,-53.777843,2033,9,20,15
44.236176,-89.525696,2031,51,227,-28
269.83813,-59.474796,2026,3,26,35
322.18283,-74.21141,2028,3,45,63
34.018066,-84.80035,2026,9,89,10
50.68643,7.0033927,2027,7,14,8
283.94748,-61.52697,2031,3,27,36
332.94876,-81.57456,2031,3,91,136
40.662567,-91.39582,2030,29,198,2
334.8332,-82.21909,2033,5,105,159
45.56732,-92.752174,2025,103,548,-49
41.54425,-90.653496,2025,29,185,0
42.65503,0.6017307,2033,6,15,5
0.6350403,-61.554966,2031,4,42,18
33.423767,-88.20966,2030,8,107,12
332.25888,-76.29443,2030,3,49,66
37.31839,-79.47595,2033,15,77,-1
341.1991,-82.48256,2034,5,97,144
31.052673,-85.727875,2034,7,89,14
43.516907,-89.18159,2025,32,169,-8
344.65863,-83.08607,2031,7,106,158
44.293915,-91.40552,2032,71,347,-41
274.007,-61.501827,2025,3,29,39
43.30484,-90.92102,2034,73,334,-50
40.269745,-87.66274,2033,19,126,3
331.9075,-73.96363,2029,7,38,49
341.2804,-80.79807,2031,5,71,101
340.3173,-74.84797,2027,4,43,54
330.75668,-79.89029,2031,3,72,105
339.92413,-83.59656,2034,6,142,218
336.5126,-80.1941,2027,4,68,97
44.516907,-92.04711,2030,85,428,-48
82.80792,12.583096,2029,5,17,12
44.394012,-92.97137,2027,136,711,-84
44.94513,-93.00309,2031,85,479,-30
327.73462,-78.78365,2032,3,65,95
337.0414,-78.44782,2033,4,56,77
43.509735,-89.25265,2033,55,234,-37
201.39291,25.23818,2034,3,20,8
323.91916,-28.246153,2033,4,23,22
0.085876465,-15.763323,2029,6,28,12
317.45102,-75.7533,2030,2,52,77
327.78146,-78.97325,2028,3,66,98
343.988,-76.43804,2034,5,46,59
342.37738,-82.35476,2031,5,92,136
181.02794,5.3812084,2034,5,20,11
343.2653,-82.42007,2028,6,92,136
330.64972,-80.26586,2027,3,76,112
357.9897,-46.715103,2028,10,18,6
301.69504,-66.66353,2032,3,32,43
203.44682,-20.221952,2027,4,19,18
336.27823,-82.73841,2032,6,119,181
45.785095,-91.34061,2030,60,308,-25
337.61798,-79.60358,2031,4,63,88
